_id,Card Name,Mana Cost,Converted Mana Cost,Card Type,Card Text,Flavor Text,Set,Other Sets,Rarity,Card Number,Artist,Community Rating,Number of Voters,Image URL
601f096fa21962abbfd200de,"Ach! Hans, Run!",2 Red Red Green Green ,6,Enchantment,"At the beginning of your upkeep, you may say ""Ach Hans, run It's the . . ."" and name a creature card. If you do, search your library for the named card, put it into play, then shuffle your library. That creature has haste. Remove it from the game at end of turn. ",false,Unhinged,false,Rare,116,Quinton Hoover,4.432,88,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=73935&type=card
601f0971a21962abbfd200df,Rumors of My Death . . .,2 Black ,3,Enchantment,"3 Black , Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield. ","By the fourth funeral, the mooks had gotten pretty good at them.",Unstable,false,Uncommon,65,Alex Konstad,5,0,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439454&type=card
601f0972a21962abbfd200e0,A Good Thing,4 White Black ,6,Enchantment,"Spells and abilities you control can't destroy, exile, target, or cause you to sacrifice CARDNAME. At the beginning of your upkeep, double your life total. Then, if you have 1,000 or more life, you lose the game. ",false,Mystery Booster,false,Common,86,Yoni Skolnik,5,0,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476216&type=card
601f0973a21962abbfd200e1,Abandon Hope,Variable Colorless 1 Black ,2,Sorcery,"Choose and discard X cards: Look at target opponent's hand and choose X of those cards. That player discards the chosen cards. ","As Gerrard's form vanished into the maw of trees, Hanna mouthed a silent plea, mourning a crushed dream.",Tempest,false,Uncommon,-1,Alan Pollack,2.823,48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4635&type=card
601f0974a21962abbfd200e2,Abandon Reason,2 Red ,3,Instant,"Up to two target creatures each get +1/+0 and gain first strike until end of turn. 1 Red Madness (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.) ",false,Eldritch Moon,false,Uncommon,115,Josh Hass,5,0,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414412&type=card
601f0975a21962abbfd200e3,Abandoned Outpost,false,-1,Land,"Abandoned Outpost comes into play tapped. ocT: Add oW to your mana pool. ocT, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool. ",false,Odyssey,false,Common,312,"Edward P. Beard, Jr.",2.24,48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=31761&type=card
601f0977a21962abbfd200e4,Abandoned Sarcophagus,3 ,3,Artifact,"You may cast spells that have a cycling ability from your graveyard. If a card that has a cycling ability would be put into your graveyard from anywhere and it wasn't cycled, exile it instead. ","Although long since dead, the banished dissenters finally took their vengeance.",Ikoria Commander,"Hour of Devastation (Rare) , Ikoria Commander (Rare) , ",Rare,236,Daarken,5,0,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=482864&type=card
601f0978a21962abbfd200e5,Abattoir Ghoul,3 Black ,4,Creature — Zombie,"First strike Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness. ",Death took his humanity but not his skill with the knife.,Duel Decks: Blessed vs. Cursed,"Innistrad (Uncommon) , Duel Decks: Blessed vs. Cursed (Uncommon) , ",Uncommon,50,Volkan Baga,5,0,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409626&type=card
601f0979a21962abbfd200e6,Abbey Gargoyles,2 White White White ,5,Creature - Gargoyle,"Flying, protection from red ","""Though Serra has not been seen for twenty years, her gargoyles still watch over our city and punish the guilty.""",Masters Edition II,"Fifth Edition (Uncommon) , Homelands (Uncommon) , Masters Edition II (Uncommon) , ",Uncommon,1,Christopher Rush,2.76,50,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=184585&type=card
601f097aa21962abbfd200e7,Abbey Griffin,3 White ,4,Creature — Griffin,"Flying, vigilance ","""The darkness crawls with vampires and ghouls, but we are not without allies.""",Innistrad,false,Common,1,Jaime Jones,2.165,85,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=235595&type=card
601f097ca21962abbfd200e8,Abbey Matron,2 White ,3,Summon - Cleric,"oW, ocT: +0/+3 until end of turn ","""The Matrons are kindly souls, but don't ask one for an ale.""",Homelands,false,Common,-1,Mike Kimble,1.983,58,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3011&type=card
